Ensembl_ID,TCGA-V1-A8MM-01A,TCGA-EJ-A46H-01A,TCGA-V1-A8MK-01A,TCGA-X4-A8KS-01A,TCGA-VP-A87C-01A,TCGA-EJ-A46I-01A,TCGA-EJ-7321-01A,TCGA-EJ-7321-11A,TCGA-KK-A59Z-01A,TCGA-G9-6378-01A,TCGA-EJ-8469-01A,TCGA-KK-A59X-01A,TCGA-HC-8257-01A,TCGA-HC-8259-01A,TCGA-HC-8259-11A,TCGA-HC-8260-01A,TCGA-HC-8260-11A,TCGA-QU-A6IO-01A,TCGA-HC-A4ZV-01A,TCGA-VP-A87J-01A,TCGA-KK-A8IF-01A,TCGA-EJ-A65M-01A,TCGA-KK-A6DY-01A,TCGA-VP-A875-01A,TCGA-KC-A4BL-01A,TCGA-KK-A6E5-01A,TCGA-G9-7509-01A,TCGA-EJ-5511-01A,TCGA-VP-A87E-01A,TCGA-EJ-7789-01A,TCGA-EJ-7789-11A,TCGA-VN-A88M-01A,TCGA-YL-A8HO-01A,TCGA-V1-A8MU-01A,TCGA-EJ-A65E-01A,TCGA-V1-A8WL-01A,TCGA-V1-A8MF-01A,TCGA-V1-A8WN-01A,TCGA-HC-8256-01A,TCGA-HC-7737-01A,TCGA-HC-7737-11A,TCGA-HC-8261-01A,TCGA-KK-A6E3-01A,TCGA-EJ-7782-01A,TCGA-EJ-7782-11A,TCGA-G9-7523-01A,TCGA-KK-A6E2-01A,TCGA-HC-7077-01A,TCGA-KK-A7AV-01A,TCGA-V1-A8ML-01A,TCGA-V1-A8MG-01A,TCGA-YL-A9WK-01A,TCGA-HC-8258-01A,TCGA-HC-8258-01B,TCGA-HC-8258-11A,TCGA-KK-A7AW-01A,TCGA-EJ-8470-01A,TCGA-VN-A88R-01A,TCGA-KC-A4BN-01A,TCGA-XJ-A83G-01A,TCGA-KK-A5A1-01A,TCGA-KK-A8I5-01A,TCGA-J4-8198-01A,TCGA-KK-A6E4-01A
ENSG00000244509.3,9.071462363,11.50233458,10.96938652,10.14210706,11.16867212,10.83999107,9.943979914,13.04763517,9.449148645,10.73724734,7.139551352,8.154818109,10.07948478,9.948367232,12.28886607,12.23451809,12.78851443,10.54109662,9.01402047,7.826548487,6.584962501,10.70217269,10.18115226,7.129283017,11.47065887,9.917372079,10.33873638,9.903881846,9.820178962,7.948367232,12.37232095,8.491853096,10.97871046,10.19105921,9.781359714,9.74819285,9.531381461,11.33483193,10.43567026,10.28193003,12.66688971,10.43879185,10.81137469,9.933690655,12.43749201,11.17741954,8.46760555,9.247927513,10.33203655,9.453270634,9.47370575,9.415741768,11.98441846,10.36850646,11.83999107,8.383704292,10.92777796,7.845490051,9.749869427,8.317412614,8.596189756,7.982993575,10.3553511,8.519636253
ENSG00000170271.9,9.055282436,11.55554777,11.00912879,10.25266543,10.4604559,11.15860969,9.733015322,12.12541347,9.843921051,11.07815081,7.948367232,8.13442632,9.768184325,9.636624621,11.30720081,10.95855272,11.56176526,9.440869168,8.945443836,8.326429487,7.948367232,9.842350343,9.933690655,8.6794801,11.12799432,10.03204573,10.65194861,10.77396337,9.654636029,8.379378367,11.46505617,8.794415866,10.74483384,10.73216743,9.396604781,9.927777962,9.672425342,11.05934446,9.451211112,10.23361968,11.93774162,10.28886607,10.02236781,10.17617315,10.12670447,11.96506276,8.980139578,8.707359132,10.18611424,9.5980525,9.927777962,10.10066234,11.08347933,10.6635581,11.42416629,7.434628228,10.24911345,8.214319121,8.864186145,8.169925001,9.105908509,8.77478706,11.01402047,8.951284715
ENSG00000084207.14,11.15924065,13.71134433,12.63503787,12.55002526,12.57860856,12.39473063,11.12282799,14.19321732,11.79116289,12.15987134,8.87036472,10.509775,11.60686784,10.85486838,13.65418847,13.64622117,13.48909532,14.16529959,10.70822173,9.882643049,8.640244936,12.90199819,12.10721708,9.06608919,14.08106728,12.10263189,12.25355206,11.34983409,11.89102419,9.129283017,13.74609438,10.81458247,12.8864587,12.4123052,11.75988818,11.32699117,11.96938652,11.98761931,10.88264305,12.27873983,15.68387187,11.81618368,13.49210354,11.08812569,13.63197277,13.31132259,9.840777924,9.601770788,12.56605404,11.57601187,11.55458885,11.51076417,13.95192213,8.693486957,16.45752517,11.70735913,12.12863881,10.47876962,11.20579325,11.80896417,10.78053977,10.32979634,11.95891516,11.39231742
ENSG00000152137.5,10.28193003,12.64835758,13.32249154,11.56890615,11.37014248,12.92091107,10.75988818,13.78023217,12.44423844,12.6851868,8.918863237,10.01959073,10.31514956,12.31571566,14.13610998,12.17274002,13.39191483,11.42836017,9.346513733,9.714245518,8.451211112,11.85213933,11.68079903,9.575539247,12.7300455,11.19105921,12.51076417,12.71037597,13.35603924,8.562242424,13.10656294,9.611024797,12.215533,12.85953479,10.14847658,12.18115226,10.72109919,12.99964774,10.66266838,11.99116751,14.07547915,11.40194612,12.55961609,11.25561875,12.73025784,14.43156289,9.909893084,9.35974956,10.42940674,11.78994113,11.36468186,12.28800089,12.78053977,11.34429591,13.87026838,9.451211112,10.72280753,9.405141463,11.38963134,10.01959073,9.746514321,11.14784089,12.60802375,11.2772874
ENSG00000168077.12,9.475733431,12.21280033,11.49835061,10.29462075,11.45172627,11.51914479,9.988684687,12.38073161,10.78217919,11.12282799,8.566054038,9.609178738,9.864186145,10.25266543,11.61378946,11.24970606,11.82654849,10.83368075,9.891783703,9.513727596,8.348728154,10.16364968,10.67330908,10.64835758,11.86263736,10.57080444,10.64745843,11.44346161,11.29806257,8.933690655,11.8761332,8.918863237,11.38694025,11.48733762,9.394462695,10.57459353,9.850186838,11.39124359,9.428360173,10.81378119,14.05307739,10.60269887,11.13121391,10.5526691,10.81618368,13.25015035,9.011227255,8.962896005,10.50084188,10.77478706,10.77807713,10.37937837,11.11634396,9.796039609,13.73703604,8.611024797,10.69609817,9.575539247,9.390168956,9.11113567,9.415741768,10.22037833,11.59991284,9.503825738
ENSG00000066468.19,10.96144969,12.23212108,11.76445696,11.00140819,10.87344411,11.88569637,10.25738784,12.60130653,10.38694025,10.05934446,8.174925683,9.177419538,10.23242093,9.667111542,12.36358725,12.33678548,12.70065645,10.93221475,8.118941073,6.832890014,9.016808288,10.40832974,10.96072599,6.820178962,12.42390377,10.60917874,11.24198315,10.34651373,8.348728154,5.209453366,12.71767642,8.335390355,10.64655871,11.07547915,10.52454172,9.525520809,9.915879379,12.07079181,10.09143539,11.38747887,12.95401451,10.88264305,9.903881846,11.18982456,12.28366717,10.53624722,7.366322214,8.618385502,10.84235034,9.946906274,10.41996018,8.139551352,12.48230378,10.81698362,12.56629193,7.499845887,11.34928123,7.562242424,10.16616308,9.921840937,7.95419631,8.339850003,10.85018684,8.164906927
ENSG00000139926.14,9.224001674,12.41996018,11.74104558,10.10590851,11.27670602,11.5526691,10.59898297,12.46582146,10.87113518,11.47471995,8.957102042,9.654636029,10.53040634,10.72451385,12.08878824,11.88455213,11.89330153,9.675957033,9.562242424,9.033423002,7.266786541,10.14338321,10.80735492,9.469641817,11.66266838,10.27262978,11.23182118,11.68255574,10.56319627,8.535275377,12.09044328,8.73809226,11.62067804,11.25856603,10.37829486,10.04302728,9.438791853,11.64700864,10.40514146,10.62570884,11.92962828,10.70390357,10.97584797,10.51569984,12.074476,12.25236977,10.31514956,9.192292814,10.13442632,10.11634396,10.48482289,9.978710459,11.26209485,10.4429435,11.06069593,6.918863237,10.91886324,7.845490051,10.56128795,8.566054038,9.30833903,9.982993575,11.90463462,9.632995197
ENSG00000109846.6,10.10459875,11.59525748,11.79928162,11.47421294,10.15101654,10.81698362,9.463524373,12.82932634,10.79522797,11.87958325,8.483815777,10.41996018,10.08878824,10.29691621,12.94763694,12.38532318,12.61953223,11.51569984,9.709083813,9.21916852,13.38842097,11.08945048,10.64205169,8.154818109,11.85759229,10.35314683,10.90914305,11.51422091,14.59566543,8.566054038,12.75968017,9.782998209,11.50233458,11.34096276,9.967226259,11.3089078,10.28308835,11.00842862,9.556506055,11.30378075,14.03608774,10.81858218,12.33873638,9.965784285,11.92369888,14.45372076,8.906890596,8.717676423,10.23242093,10.34318572,10.32080055,11.94580958,12.27525154,10.51175265,13.62570884,8.918863237,9.968666793,9.894817763,10.30833903,9.933690655,9.864186145,9.686500527,11.63753055,10.22037833
ENSG00000134202.9,9.625708843,11.89557528,11.73428623,11.31061278,10.70217269,11.54399845,10.47978026,13.10541749,10.16867212,10.88722062,9.381542951,11.01471793,11.09803208,11.24792751,12.91363743,12.80251637,12.96000193,11.9690267,9.335390355,10.27262978,9.20701432,11.13891172,11.34485068,8.640244936,11.61608931,11.64340528,11.16741815,10.84784036,11.06137119,10.56890615,12.9130764,10.32755264,11.69043456,11.00422047,12.24019505,10.97226185,11.87805091,12.18146288,9.651051691,11.4152136,13.89689998,12.17523765,11.36741475,10.5849625,12.89462832,12.77684423,9.854868383,10.46658634,10.75988818,10.96506276,11.26091953,11.32361776,12.79461893,10.39767463,15.93251467,9.675957033,11.57080444,10.84392105,10.65463603,10.67595703,10.45121111,10.39660478,11.66444728,11.24019505
ENSG00000065534.17,13.31953101,15.46362016,16.43306377,14.24725999,15.0526954,15.63702104,13.79055214,16.45983181,15.42966827,16.00910691,12.87881728,12.96181141,13.04524773,15.51301816,16.64415202,14.95877925,16.24688902,12.80170836,12.92407019,12.97046544,13.99638522,14.09110476,14.25414285,12.66200072,15.21481238,14.1067265,15.70994538,15.8629763,14.76445696,12.34096276,16.06993221,12.09967655,15.46779657,15.66389161,13.15212637,14.73200839,13.25591375,16.17687438,13.94471206,14.93801741,16.69369113,14.65480383,14.8263002,14.74457109,15.89992332,17.09355168,12.64835758,12.65597786,13.2610665,14.64447596,14.22256852,14.70956851,14.74892659,14.39947821,15.13478727,10.59618976,13.82803729,12.70000615,13.99762055,12.34485068,12.94599242,14.44914865,15.76188881,12.99559051
